id_pencarian,nama_pencarian,jenjang_pencarian,pt_pencarian,pt_singkat_pencarian,id_sp,id_sms,nama_pt,kode_pt,nama_prodi,kode_prodi,kel_bidang,jenj_didik,tgl_berdiri,tgl_sk_selenggara,sk_selenggara,no_tel,no_fax,website,email,alamat,provinsi,kab_kota,kecamatan,lintang,bujur,status,akreditasi,akreditasi_internasional,status_akreditasi,detail_error
F6CvtKDrX-CMsC_zS_XPTQxWIyarU1_qC9H35_176bMumLNCVCtPGays0qQ1gqa4EEj_yw==,STATISTIKA,S1,UNIVERSITAS TERBUKA,UT,Se8J80t38T87LoVGB7dTxKHeUeJnurv1u16oyvp1uHRMFb0UP5bgaURI6F6iQ5BipNToWw==,JnGUPLD0FgA5mT7sGRFAbSN5kRD7u1b7lLoNA4H1bLp_BCxeOpZaYFE_ar1Tt4fpWA-vcg==,Universitas Terbuka,001031  ,Statistika,49201,MIPA,S1,1990-07-11T00:00:00Z,2011-04-27T00:00:00Z,6747/D/T/K-N/2011                       ,021-7490941 ext.1818,0217490147          ,www.ut.ac.id                            ,harmi@ut.ac.id                          ,"Gedung Fakultas Universitas Terbuka, Jl. Cabe Raya Ciputat  ",Prov. Banten,Kota tangerang Selatan,Tidak Diisi,-6.341585,106.759228,Aktif,Unggul,-,,
samriBtVuBQWQCOvFwCMi3IbNr-uWM0HAQ2jJ9nOyjCtW9ge_2HoKMHZz9T8diiIxxd95A==,STATISTIKA,S2,UNIVERSITAS BENGKULU,UNIB,mn1Vg1zOqs8b4OC8POKwJk1p4jZDtt69qY3m2AtzVxnOPrylEQ5FYM0nVH_g1a9e0fGTcw==,OGs3SmdO5-wtIpAQVJHRTCep6M9OWftsRqVpsY0094GMLuO3wkKH4txj-2rn4RKBs0tTCA==,Universitas Bengkulu,001030  ,Statistika,49101,MIPA,S2,2014-10-10T00:00:00Z,2014-10-10T00:00:00Z,482/E/O/2014,,,,,Jalan WR Supratman Kandang Limun ,Prov. Bengkulu,Kota Bengkulu,Kec. Muara Bangkahulu,0,0,Aktif,Baik Sekali,Terakreditasi Internasional,,
Nwn8nIoi72uwgHV1y6uBUG9JI96ppUbCSTFhs_Ogpf70ZSmwVFccI3nC9YVVEjsJvPE-yQ==,STATISTIKA,S1,UNIVERSITAS BENGKULU,UNIB,LFxW5C5R_5JT8N8nbt28AhyNUgcgI4BYPETahhM4BtcpSX-Tlq9woGx7__2RZkxwyvfeKg==,ucCM-NS1jxqXnl8NoYfUJdJVwgPCpPBrm8nFtaQ8HqrGL5ARv0CxoMwmX-cgxToYdZv89g==,Universitas Bengkulu,001030  ,Statistika,49201,MIPA,S1,2016-02-03T00:00:00Z,2016-02-03T00:00:00Z,73/KPT/I/2016,,,,,,Prov. Bengkulu,Kota Bengkulu,Kec. Muara Bangkahulu,0,0,Aktif,Unggul,Terakreditasi Internasional,,
dKCvbV_DI9oNs1RpqydksDbh7S-X1w9hkK-ZbYuSrDFFNMaJiXQ8-w7CP6fguKlDt44JLQ==,STATISTIKA,S1,UNIVERSITAS AIRLANGGA,UNAIR,CtRcpb10hvgFGKTjy3HsT-I3lAeLTPA51m5bJwCYwQKPDeLH1BkTx6El01EMgXit5v1tYQ==,ip1LbDq142NurOBnYPWAdUWvA7d5FPigytgqgp7aJZD0vVUbq8ms2DFFklzNSR4l6h466g==,Universitas Airlangga,001004  ,Statistika,49201,MIPA,S1,2011-02-24T00:00:00Z,2011-02-24T00:00:00Z,91/H3/KR/2011                           ,,,,,-,Prov. Jawa Timur,Kota Surabaya,Kec. Mulyorejo,0,0,Aktif,Unggul,-,,
f3pVweFnDSl53CcGx0sfr4AvRkj1DaYVVv_6fuw-wN6LJCsHqs-anrUuLiBdxsGAEO1m4A==,STATISTIKA,S1,UNIVERSITAS BRAWIJAYA,UB,dU3fTaJY_1dcNK5nhlBeEsNBlaUUrhWNWUrfRSQsJ4AtojZcJtSXITuKy2PhX4NK9Te5MQ==,sKyOO55rz1pc22NnDvrkp5bKzRi7akcBnJ9T36HnUI2hkEagZOR-Pco7rpJWujkZtXrCuQ==,Universitas Brawijaya,001019  ,Statistika,49201,MIPA,S1,1998-02-23T00:00:00Z,2011-04-21T00:00:00Z,6585/D/T/K-N/2011                       ,0341554403,0341554403,statistika.ub.ac.id,fmipa@brawijaya.ac.id                   ,-,Prov. Jawa Timur,Kota Malang,Kec. Lowokwaru,-7.952531,112.611732,Aktif,Unggul,Terakreditasi Internasional,,
VOm7j-7PRFo83PkQUsiMo5N9W7wpjkDTZjDQlVP7HI4RZA3KPgP9HfCx012weGVfl2XyCw==,STATISTIKA,S1,UNIVERSITAS TADULAKO,UNTAD,GaHfCXLIURqyLdJYI8YOfmrcKngDtUCnOI5aSd1dCv3tku3B2cLl2mekUmX1VRUI_IuTDA==,T08ds_0Lx0_C10uIZEplYj9iOeChekbriGaSSok2hx3-j3_1nVV4DjG2SyFX2XO6dYE6bQ==,Universitas Tadulako,001028  ,Statistika,49201,MIPA,S1,2014-03-05T00:00:00Z,2014-03-05T00:00:00Z,090/P/2014,,,https://statistika.fmipa.untad.ac.id/,Statistika.untad.ac.id,,Prov. Sulawesi Tengah,Kota Palu,Tidak Diisi,-0.837625,119.894499,Aktif,Baik Sekali,-,,
DwtgBU4rAZkfhBHAHjyF1KIa-CRnvTr08GgW6F6PSSONdNK9t6S1hgqvZKVOIvCznws4_g==,STATISTIKA,S1,UNIVERSITAS HASANUDDIN,UNHAS,FEypGgyQIl9nJQU5U-u7gvGvUTPP0-eArKxRylyuoE-biFdRxV3UPlGo7wCSm6_4xwdWSQ==,NkR7sBMPgm7T480DlcPzBwuefsmHy9TLXN42ue9QtDMgVevt-hn9_f16pCFNS1Ntwx6o4Q==,Universitas Hasanuddin,001005  ,Statistika,49201,MIPA,S1,1960-01-01T00:00:00Z,2010-11-28T00:00:00Z,4579/D/T/K-N/2010                       ,0411585643          ,                    ,                                        ,fmipa_sta@unhas.ac.id                   ,Jl. Perintis Kemerdekaan KM. 10 Makassar                    ,Prov. Sulawesi Selatan,Kota Makassar,Tidak Diisi,0,0,Aktif,Unggul,Terakreditasi Internasional,,
1hU0MMVcMrKQJTRDR9Ww34ewjQGjv-mE4tfk42H72Rn8RssgDtf0K6zRmxof_GSRGl0H1w==,STATISTIKA,S2,UNIVERSITAS HASANUDDIN,UNHAS,Dvepzh9DRyWgQZO80nwCxA6RUVijph7Mlsj4SdOsM-dAv4ysKziBbekHb8mTkcTkS4JBKg==,WX0eu9n4Aa1mQMqH-9zTEL3JZktrq_prFxGGNp6g0bhPrXz8RJ10AXs17JljTqtmjja_kQ==,Universitas Hasanuddin,001005  ,Statistika,49101,MIPA,S2,2019-07-24T00:00:00Z,2019-07-24T00:00:00Z,3874/UN4.1/KEP/2019,,,,,,Prov. Sulawesi Selatan,Kota Makassar,Tidak Diisi,0,0,Aktif,Unggul,-,,
SToD2279OhuYATMoNZB8VNEQ_vM6lNOXTkPIPWxoe_-O9fwmEWvosmaTmt1ZQHSvVuGyAg==,STATISTIKA,S1,UNIVERSITAS INDONESIA,UI,-nMoe4XUBQzsebp-l8gFwm51kParL0vqD-aXAAC2kit4DBxuEoMubiW82P3Enyke4sf8Aw==,mlykXhC4dD64-eWZGLHorjuWNlKK0R7ZrAe7G-EcqiRLD5OSenVS4DGCCD_CX_-D7xevKw==,Universitas Indonesia,001002  ,Statistika,49201,MIPA,S1,2015-04-28T00:00:00Z,2015-04-28T00:00:00Z,1107/SK/R/UI/2015,,,,,Kampus Depok Universitas Indonesia,Prov. D.K.I. Jakarta,Kota Jakarta Pusat,Tidak Diisi,0,0,Aktif,Unggul,-,,
8zrvIdz0XrXDK1w6VC7WyRWvdX7CaGsp7ag-p_5kuA_jcIucRN0trXT7_4eZHibBZuBNmA==,STATISTIKA,S1,UNIVERSITAS PATOMPO,UP,IbCXDZ1X2LHRgMpozwVewrqiRixNHdYp7R3x80xRRlIxsBxfG5oqlJCJ-Fup1gB1viz8uw==,Qebkl-jHB83zW3h_l09IPqO5hBKA6BJb5ePL-kCyH7klEWWLNcIkWqv0rT1tUTfz4TRG2Q==,Universitas Patompo ,091075  ,Statistika,49201,MIPA,S1,2022-06-10T00:00:00Z,2022-06-10T00:00:00Z,422/E/O/2022,,,,,,Prov. Sulawesi Selatan,Kota Makassar,Tidak Diisi,0,0,Aktif,Baik,-,,
NKD4sETouILG92jnk36QoXLVaXt-HAkQgpsCKa2w9c3a4scTJYXTUjcQihRnCdxvwz1yWw==,STATISTIKA,S2,UNIVERSITAS BRAWIJAYA,UB,moTUkTNLJ_3y0irG-7XZqjYrACBrnmXog4LXDrGb7moaghJXVxC5EriPWj6XLcuOlFqJTg==,pG8KxLJTlqkuLEHwAlNHZ62p_YCeZRl6eq3B2IAe1xIxDSDg88c4LR7Urm0WB0I1SkcO8Q==,Universitas Brawijaya,001019  ,Statistika,49101,MIPA,S2,2013-07-11T00:00:00Z,2013-07-11T00:00:00Z,267/E/O/2013,0341554403,0341554403,http://matematika.ub.ac.id/s2statistika/,pascamipa@gmail.com,Jl. Veteran,Prov. Jawa Timur,Kota Malang,Kec. Lowokwaru,-7.952531,112.611732,Aktif,Unggul,-,,
JPkcO7s6kfSZQzUlPq_C5U3SGs-LLLw4UZkI3_R5saGS-49qwX81haBQknSvo9sUiRYIrg==,STATISTIKA,S1,UNIVERSITAS PADJADJARAN,UNPAD,c5m1URuJ067siox9svsEk_aGAAphKIowFBbtfktX1SyZ-nMkL6ymFzJv4eXlDbBY3xbcoA==,bSDfF6ZpPQGCu0feXA8mfM8kMfmsNnGcZctfYDqI5WEkGuVQzbwq8Idqh0E-t60iZnOCjQ==,Universitas Padjadjaran,001007  ,Statistika,49201,MIPA,S1,1957-09-11T00:00:00Z,2011-04-26T00:00:00Z,6639/D/T/K-N/2011                       ,022-7796002   ,022-7796002 ,statistics.unpad.ac.id,statistika@unpad.ac.id             ,Jalan Raya Bandung-Sumedang Km 21 Jatinangor 45363          ,Prov. Jawa Barat,Kab. Sumedang,Tidak Diisi,0,0,Aktif,Unggul,-,,
xPr0ywX_78gSFMOKqaDrt5d0M8J5b26jCrcdpx-N_iPgZL7ouK9LRGcVd0Fh6BXTstz_5A==,STATISTIKA,S1,UNIVERSITAS CENDERAWASIH,UNCEN,n29Zm1U5q8mON34CorxpjxMyiAdXiQmTVtAQ8N_nIH5myw1TC7vLe9-SHUlA0fAfeqa42A==,1M3ZkuqV5zw5OYc8_ytWXLjJfxf67m75JpiwDNKmn9JWvv0gttzzON009p8KJkIk_TAQ5A==,Universitas Cenderawasih,001018  ,Statistika,49201,MIPA,S1,2017-02-08T00:00:00Z,2017-02-08T00:00:00Z,136/KPT/I/2017,,,https://statistika.fmipa.uncen.ac.id/,statistika.fmipa.uncen@gmail.com,,Prov. Papua,Kota Jayapura,Tidak Diisi,-2.5828766,140.6514591,Aktif,Baik,-,,
Q6NXENNyRAen3MK_ui-85k360ckEiKOPouYBc585F99-3IuJn5KeNF9khb2EdHmDyZQeLA==,STATISTIKA,S1,UNIVERSITAS DIPONEGORO,UNDIP,dCOhYpbm0wf0znR8dY9YSLgyyikCs7iNTRqtmPlICG6va2W72wB-dIJvaaiBlGdxJ5OmsQ==,GT5o67tLtTrbhmYmCBVQkd9MedmkA3FiJQzK02LozHKaodPvEuIBG8HK1vFFp2oCEwNmdw==,Universitas Diponegoro,001008  ,Statistika,49201,MIPA,S1,2003-05-07T00:00:00Z,2013-05-31T00:00:00Z,15594/D/T/K-N/2013                      ,(024)7474754,(024)76480690,https://stat.fsm.undip.ac.id/v1/,statistika@live.undip.ac.id,"Jl. Prof. Soedarto, SH. Kampus Tembalang Semarang 50275     ",Prov. Jawa Tengah,Kota Semarang,Kec. Tembalang,-7.04827,110.441747,Aktif,Unggul,-,,
qqsCYfVVoRw5PQlw5rSyudR6u46QJb0wYtTsFU7rXv5AQFHQmH0IZrXqwJ4UhraRRB_90w==,STATISTIKA,S1,UNIVERSITAS MULAWARMAN,UNMUL,GON-Fy3gxK0CTwaBdTcDyE77pxs0aEwf78SLJTKdvam8VsDXQEsRrmcbevxXzCMo1LslAA==,z8X13eDusGk9vR1yktDET5DTNsc8UPL0ZjCHoIMS1G9nY6IynJ7eG8F_7XeJc7GesQRKzA==,Universitas Mulawarman,001015  ,Statistika,49201,MIPA,S1,2001-07-20T00:00:00Z,2012-03-10T00:00:00Z,10952/D/T/K-N/2012                      ,0541-749152 ,0541-749140,http://statistika.fmipa.unmul.ac.id/,statistika@fmipa.unmul.ac.id               ,-,Prov. Kalimantan Timur,Kota Samarinda,Kec. Samarinda Ulu,0,0,Aktif,Unggul,-,,
1vpADOjKp8TPyAmrftxjwsvD8MmiyC-rObWFajyaqxek1esjkKYM54Io0ylj5sxhxeCrJg==,STATISTIKA,S1,UNIVERSITAS RIAU,UNRI,ZxCNyObDsRXgRkMd22wTGkznSn0-OFz7kba3Ywq2ie5WPyLft2tCh0ZG0sBGBqYie5aWKw==,HVLDOGkM3CAWRIovYLqywG_5-tuUdpyqKxuz1S-nzc1ijaLxb0qNmNIDyNpFCYZaY7FbwA==,Universitas Riau,001017  ,Statistika,49201,MIPA,S1,2016-03-10T00:00:00Z,2016-03-10T00:00:00Z,118/KPT/I/2016,0761 63273,0761 63273,http://math.fmipa.unri.ac.id,Matematika_fmipa@unri.ac.id,,Prov. Riau,Kota Pekanbaru,Tidak Diisi,0.477002,101.376443,Aktif,Unggul,-,,
VP0fZDZshyWeI0cepcxatnljn1KBRhIpcEb_OZ-_HrS_CX1N3NSwshknInf6HVed_7IEBQ==,STATISTIKA,S1,UNIVERSITAS HAMZANWADI,HAMZANWADI,_UOZUbRBB0hZFm0GtLZ3tMiBvQ_gw3GQ-uWm4rzXYxDOlc0z8DI1fJwXcouAFXr9DQspkw==,W0xTtkEO93vUdxhSWj5ZCZVDT7aX-FxP_6enFj6W4GDuMHo3o4wIl-qNQA2sRs4CULzajA==,Universitas Hamzanwadi,081035  ,Statistika,49201,MIPA,S1,2016-09-23T00:00:00Z,2016-09-23T00:00:00Z,428/KPT/I/2016,,,https://statistika.fmipa.hamzanwadi.ac.id/,statistik@hamzanwadi.ac.id,"Jl. TGKH M. Zainuddin Abdul Majid no. 132 Pancor, Selong-Lombok Timur",Prov. Nusa Tenggara Barat,Kab. Lombok Timur,Kec. Selong,0,0,Aktif,Baik Sekali,-,,
EtNS6ry8g_KL2KzpKMfLyDxErb7nOn0SxzVNzewGdV0rMxyOVE00a0slY-9ZApepfBAF3g==,STATISTIKA,S1,UNIVERSITAS MATARAM,UNRAM,y0RbYzK0VQhQmDIMG8aN1ififbYjg6nDw9NkC0MW4IOY7fP1WQBy2Fk-3vbalDsohVBmww==,2FCiR9kLaLRmVeVbLzu2s4Fzov09JQhusixvLSjD_Va-EI2EJ7uCV1xjv75jG3ZaltkOaw==,Universitas Mataram,001016  ,Statistika,49201,MIPA,S1,2022-09-26T00:00:00Z,2022-09-26T00:00:00Z,710/E/O/2022,(0370)646506,(0370)646506,,,,Prov. Nusa Tenggara Barat,Kota Mataram,Kec. Selaperang,-8.5875474,116.0955763,Aktif,Baik,-,,
yiEVpZMw6ONm9xeSvlYN3FnG7LGrOllZo2p4UanxZbYcpBv2XNFepHKR0I0FGK1TOG_Axw==,STATISTIKA,S1,UNIVERSITAS ISLAM BANDUNG,UNISBA,5gNwlv-i8-4j4_SPbKwIs0Vn8eGyUXd5fC8HCGunyhEDcUR3D0_RcVvQOq-Or6Dz-9rkEA==,z7woHZEdnEjgHRjdB3mWblX_WDOnVe0FjTja3VpOiJnPp2yw8z2F3w0qkc9KrvpQ2PHVvg==,Universitas Islam Bandung,041002  ,Statistika,49201,MIPA,S1,1972-01-01T00:00:00Z,2009-02-23T00:00:00Z,1050/D/T/K-IV/2009                      ,4203368-437     ,4263895            ,statistika.unisba.ac.id                  ,mipa@unisba.ac.id                       ,                                                            ,Prov. Jawa Barat,Kota Bandung,Kec. Bandung Wetan,-6.902525,107.611019,Aktif,Unggul,-,,
asx5FWgOQDSXVOGdY8tJ3vKvpbydNNVSlgAeTutr1dYFv4gsNWrjOQoFTBMWA0HxHlet3w==,STATISTIKA,S1,INSTITUT TEKNOLOGI KALIMANTAN,ITK,6XXz-9HTDYrGAnFN7zPCYJ4km4ZPETu_BxwhXxrvVqz8kVhlUwPiGFPzlk078Vi2yfAAzg==,FfPul4ZXtF8pVojo5uTMjeuDwLLA74ZuUK_8BJHL4l_-wBZMlgHa2f1QuVB_aieqyWkdfA==,Institut Teknologi Kalimantan,002013  ,Statistika,49201,MIPA,S1,2020-06-30T00:00:00Z,2020-06-30T00:00:00Z,610/M/2020,0542-8530801,0542-8530800,stat.itk.ac.id,stat@itk.ac.id,,Prov. Kalimantan Timur,Kota Balikpapan,Tidak Diisi,-1.1504216,116.8587103,Aktif,Baik,-,,
bzrhmn8XogYc616JbS-sY7b1dCD8iRxV67NMm-BFsW4sNzTKZqD0d2-dv102z_FZE8S5ZA==,STATISTIKA,S2,UNIVERSITAS SYIAH KUALA,USK,JI2EHONBA27DHZqB7T6SzmhLYncSvPq1evcCfYauEIujBOv2hbslhNJ3xNNYmDA01gdo9A==,Wx7HsM5c1Zsj3SNGYWPNFaFVypcmp8ep_AEHyE-hc_jgCxqsVPUkuT5Tbm0IQY6BM3qkow==,Universitas Syiah Kuala,001011  ,Statistika,49101,MIPA,S2,2025-04-21T00:00:00Z,2025-04-21T00:00:00Z,784/UN11/KPT/2025,,,,,,Prov. Aceh,Kota Banda Aceh,Kec. Syiah Kuala,0,0,Aktif,Terakreditasi Pertama,-,,
1CPTYC_QdPZZEq7qcAhdXejc6-pEO3vpZ7kGjglscgtcMDkAkGy8lKac1u6WQs1GMhNAZg==,STATISTIKA,S1,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,,meZ7U8GGhd3Gumii9OPDC89UhAjQQq83xTOAo_Mmjzgzt0sxVSLuZjgG7LdTT1FD_1pccQ==,IuM4SS4IBPowSdX7IjhkKXXulQRZ26bAPy0pBdQ0ODB6ALc_GUk89HagsFz3ythChP-G5w==,Institut Teknologi Sepuluh Nopember,002002  ,Statistika,49201,MIPA,S1,1996-07-11T00:00:00Z,2010-12-09T00:00:00Z,4801/D/T/K-N/2010                       ,031 5943352         ,031 5922940        ,www.statistics.its.ac.id                ,statistika@its.ac.id                   ,"Jurusan Statistika FMIPA-ITS, Kampus ITS Sukolilo Surabaya  ",Prov. Jawa Timur,Kota Surabaya,Kec. Sukolilo,-7.2853928,112.794625,Aktif,Unggul,Terakreditasi Internasional,,
